Serial-No,Product_Name,Price in ₹,Product_Stars,Ratings,Reviews,Brand,image_url,features,Rating_Count,Type of Sorting,Review_Count
0,"Noise ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance Smartwatch","₹1,999",4.2,83325,6694,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"4.2 cm (1.69"") LCD full touch screen150+ customizable and cloud based watch faces60 Sports Mode|Body Temperature sensorIP68 water resistantQuick replies (Android only)Blood oxygen, Heart rate monitor, Stress monitor and sleep monitorTouchscreenFitness & OutdoorBattery Runtime: Upto 15 days1 Year Manufacturer Warranty",50K-100K,Popularity,1K-10K
1,"Noise Icon Buzz BT Calling with 1.69"" display , AI Voice Assistance, Built-In Games Smartwatch","₹1,799",4.2,224027,17882,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"1.8 display (500 nits brightness)| Bluetooth calling| AI voice assistant100+ cloud-based watch faces| In-built gamesNoise Health SuiteTM (SpO2, 24*7 heart rate tracking, sleep monitor & activity tracker)60 sports modes| IP67 waterproof | 7-day batteryUtility features (stopwatch, alarm, timer, weather, find my phone, camera & music controls)NoiseFit Track appWith Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty",200K-300K,Popularity,10K-20K
2,"Noise ColorFit Caliber Go with 1.69 inch HD Display, 40 Sports Modes, 150+ Watch Faces Smartwatch","₹1,499",4.2,28702,2220,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"1.69'' TFT display (240*280px, 500 nits, 218 PPI)Noise Health Suite (SpO2, 24*7 heart rate tracking, activity tracker, sleep tracker, stress monitor & female health tracker)Productivity and utility features (hand wash reminder, drink water reminder, DND, weather forecast, call mute & rejection, alarm, idle alert, stopwatch, timer, remote music control & find my phone)40 sports modes (10 inbuilt & 30 in app) | 150+ cloud-based watch facesUp to 10 days of battery (300mAh)5 color options: Jet black, Rose pink, Olive green, Midnight blue, Mist greyTouchscreenFitness & OutdoorBattery Runtime: Upto 10 days1 Year Manufacturer Warranty",10K-50K,Popularity,1K-10K
3,"Noise Icon Buzz BT Calling with 1.69"" display , AI Voice Assistance, Built-In Games Smartwatch","₹1,799",4.2,224027,17882,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"1.8 display (500 nits brightness)| Bluetooth calling| AI voice assistant100+ cloud-based watch faces| In-built gamesNoise Health SuiteTM (SpO2, 24*7 heart rate tracking, sleep monitor & activity tracker)60 sports modes| IP67 waterproof | 7-day batteryUtility features (stopwatch, alarm, timer, weather, find my phone, camera & music controls)NoiseFit Track appWith Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty",200K-300K,Popularity,10K-20K
4,"Noise Icon Buzz BT Calling with 1.69"" display , AI Voice Assistance, Built-In Games Smartwatch","₹1,799",4.2,224027,17882,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"1.69inch HD Display|550 Nits Brightness| 2.5D Curved Touch DisplayBluetooth Calling & Dialpad(Save upto 10 contacts)| Ultra Slim & Lightweight150+ Watch Faces| HR & SpO2 MonitoringIP68: Dust, Sweat & Splash ResistantWith Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 10 days1 Year Warranty from the Date of Purchase",200K-300K,Popularity,10K-20K
5,"Noise ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance Smartwatch","₹1,999",4.2,83325,6694,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"1.69inch HD Display|550 Nits Brightness| 2.5D Curved Touch DisplayBluetooth Calling & Dialpad(Save upto 10 contacts)| Ultra Slim & Lightweight150+ Watch Faces| HR & SpO2 MonitoringIP68: Dust, Sweat & Splash ResistantWith Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 10 days1 Year Warranty from the Date of Purchase",50K-100K,Popularity,1K-10K
6,"Noise Icon Buzz BT Calling with 1.69"" display , AI Voice Assistance, Built-In Games Smartwatch","₹1,799",4.2,224027,17882,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,1.69 TFT LCD DisplayIn-Built Games|Bluetooth CallingVoice Assistance (AI voice assistance)Noise Health Suite|Weather ReportUp to 7-Day Battery100+ Watch Faces|IP67 WaterproofWith Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty,200K-300K,Popularity,10K-20K
7,boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch,"₹1,999",4.1,128899,9339,boAt,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202106/boat_1200_080621082427.jpg,Screen Size: 1.85 inch (47mm) HD Display2.Bluetooth Calling3.Dial Pad|Save Contacts|Built in Mic and Speaker4.Functional CrownWith Call FunctionTouchscreenFitness & Outdoor1 Year Warranty from the Date of Purchase,100K-200K,Popularity,1K-10K
8,boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch,"₹1,999",4.1,128899,9339,boAt,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202106/boat_1200_080621082427.jpg,"1.43 AMOLED Always On Display (466*466px | 326 PPI | 500 nits brightness)Tru SyncTMLightweight design with circular stainless steel ringNoise Health SuiteTM (SpO2, stress monitor, 24*7 heart rate tracking, sleep monitor & breath)With Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty",100K-200K,Popularity,1K-10K
9,boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch,"₹1,999",4.1,128899,9339,boAt,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202106/boat_1200_080621082427.jpg,"1.78 inch AMOLED Always On Display (368*448px, 326 PPI & 500 nits)Bluetooth calling (In built speaker, in-built microphone & dial from recent call logs and access favourite contacts)Tru Sync Technology for quick pairing , stable connectivity and low power consumption.Lightweight design & unique straps (10.9mm thick - excluding sensors (disclaimer), metallic finish)Noise Health SuiteTM (SpO2, 24*7 heart rate tracking, activity tracker, stress monitor, sleep tracker & female health tracker)100+ watch faces (customised & cloud-based) & all-new watch UI (widgets & shortcut screens)100 sports modes with auto sports detection (Disclaimer: 10 in watch, remaining via app)Productivity and utility suite (quick reply, call & message notifications, world clock, alarm, stocks, reminders, remote camera/music control, find my phone, weather updates & smart DND)With Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty",100K-200K,Popularity,1K-10K
10,"Noise Evolve 3, 1.43"" AMOLED AOD, 466*466px, 500 nits, BT calling,Tru Sync Technology Smartwatch","₹3,999",4.4,12911,1431,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"1.69inch TFT LCD display|Calls & SMS quick reply (Android only)Noise Health SuiteTM (SpO2, 24x7 heart rate tracking, activity tracker, sleep monitor, stress monitor, and female health tracker)60 sports modes| 150 watch faces|IP68 water resistanceUp to 7-day batteryApp Name : NoiseFit AppTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty",10K-50K,Popularity,1K-10K
11,"Noise ColorFit Caliber Go with 1.69 inch HD Display, 40 Sports Modes, 150+ Watch Faces Smartwatch","₹1,499",4.2,28702,2220,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,1.69 inch Square HD Display550 Nits BrightnessHeart Rate and Blood Oxygen MonitoringHealth Ecosystem with boAt Crest AppTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Warranty from the Date of Purchase,10K-50K,Popularity,1K-10K
12,"Noise ColorFit Caliber Smart Watch with 15-day battery, 1.69"" display, 60 Sports Modes Smartwatch","₹1,499",4.2,278207,25765,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"1.69inch TFT LCD display|Calls & SMS quick reply (Android only)Noise Health SuiteTM (SpO2, 24x7 heart rate tracking, activity tracker, sleep monitor, stress monitor, and female health tracker)60 sports modes| 150 watch faces|IP68 water resistanceUp to 7-day batteryApp Name : NoiseFit AppTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty",200K-300K,Popularity,20K-30K
13,Noise ColorFit Vision 2 Buzz Smartwatch,"₹2,999",4.3,12125,1057,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"1.85 inch TFT display: Experience bold and vibrant visuals on this big-screen smartwatch with 550 nits.2.5D Curved glass: Stand out in the crowd with its premium curved glass design.Noise Buzz: Manage calls directly from your wrist. Access your call logs, make calls from the dial pad and save up to 10 favorite contacts.Noise Health SuiteTM: Take better care of your daily health with a series of health monitoring tools Blood oxygen monitor, Sleep monitor, 24x7 heart rate monitor, Stress measurement & Female cycle tracker.NoiseFit app: Make the most out of your smartwatch by pairing it with the NoiseFit app.Up to 7-day battery: Go through a full week without charging with up to 7 days of battery life.200+ cloud-based & customized watch faces: Make your selection from a series of fun and trendy watch faces.With Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty",10K-50K,Popularity,1K-10K
14,"Noise ColorFit Caliber Smart Watch with 15-day battery, 1.69"" display, 60 Sports Modes Smartwatch","₹1,499",4.2,278207,25765,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,Screen Size: 1.85 inch (47mm) HD Display2.Bluetooth Calling3.Dial Pad|Save Contacts|Built in Mic and Speaker4.Functional CrownWith Call FunctionTouchscreenFitness & Outdoor1 Year Warranty from the Date of Purchase,200K-300K,Popularity,20K-30K
15,boAt Wave pro 1.69inch HD display withTemperature Sensor and live cricket updates Smartwatch,"₹1,299",3.9,18014,1538,boAt,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202106/boat_1200_080621082427.jpg,With Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty,10K-50K,Popularity,1K-10K
16,"Noise ColorFit Caliber Go with 1.69 inch HD Display, 40 Sports Modes, 150+ Watch Faces Smartwatch","₹1,499",4.2,28702,2220,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"1. Bluetooth Calling2. 600+ Watch Faces3. 1.69'' Square HD Display4. Live Cricket Scores5. Heart Rate and Blood Oxygen Monitoring6. Health Ecosystem with boAt Crest App7. Multiple Sports Modes8. IP68: Dust, Sweat &amp; Splash Resistant9. Slim Metallic DesignWith Call FunctionTouchscreenFitness & Outdoor1 Year Warranty from the Date of Purchase",10K-50K,Popularity,1K-10K
